tweet_id,username,politician,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,sentiment,sentiment_label
1906789394414973006,IoneBelarra,Ione Belarra,Mon Mar 31 19:23:12 +0000 2025,@pilar_lima Es un honor 💜,61,9,3,1195,25,0,1,0,0.8126,positive
1906776005236203853,IoneBelarra,Ione Belarra,Mon Mar 31 18:30:00 +0000 2025,"Cuando @akapobisoko llegó a España con 10 años la primera frase que oyó en el colegio fue: ""Put* negro, vete a tu put* país"". Desde entonces decidió politizar la rabia y hacer frente al racismo. Gracias por tu lucha Guillermo, un orgullo tenerte en nuestra candidatura. https://t.co/YLrCp7ozSd",2703,800,588,153375,293,0,1,1,0.0,neutral
1906738257489998090,IoneBelarra,Ione Belarra,Mon Mar 31 16:00:00 +0000 2025,"Francho Aijón @Franchoai es, al igual que su hijo Javitxu, un profundo antifascista que no se va a callar cuando vea que hay una injusticia contra la que luchar.

Es un orgullo contar con él en nuestra candidatura 'Orgullosamente Podemos' para La Quinta de Podemos. https://t.co/jzxgccdk96",1517,677,78,51660,289,0,1,1,-0.296,negative
1906700509404127643,IoneBelarra,Ione Belarra,Mon Mar 31 13:30:00 +0000 2025,Orgullo de equipazo. Orgullosamente Podemos. ¡A por La Quinta! https://t.co/BWp9Hbbb5B,2453,822,1034,2156543,86,0,0,1,0.0,neutral
1906689849953862047,IoneBelarra,Ione Belarra,Mon Mar 31 12:47:39 +0000 2025,@pilar_lima Pilar 💜,48,6,0,690,19,0,1,0,0.6369,positive
1906660369138929949,IoneBelarra,Ione Belarra,Mon Mar 31 10:50:30 +0000 2025,"Tenemos el mejor equipo para que Podemos sea una izquierda transformadora orgullosamente antirracista, feminista, ecologista, que defienda la paz y los derechos de la gente trabajadora. ¡Orgullosamente Podemos! https://t.co/36viKDxGJE",1824,826,293,82692,234,0,0,1,0.0,neutral
1906617149377974367,IoneBelarra,Ione Belarra,Mon Mar 31 07:58:46 +0000 2025,"A partir de las 10:30 presentamos nuestra candidatura a La Quinta de Podemos en donde voy a estar rodeada del mejor equipo. Aquí puedes seguir en directo el acto de presentación. ¡A por La Quinta! 💜
https://t.co/DKzGWehF43",853,422,95,47413,222,0,0,1,0.6696,positive
1906429709694693672,IoneBelarra,Ione Belarra,Sun Mar 30 19:33:57 +0000 2025,"La presunción de inocencia prevalece si eres un futbolista con pasta al que acusan de agresión sexual, si eres un joven antifascista que pelea por los derechos de todas, acabas en la cárcel. Feliz cumpleaños Javitxu. Estamos contigo. ¡Indulto ya!",4047,1922,628,132137,246,0,0,0,0.0,neutral
1906280237727703198,IoneBelarra,Ione Belarra,Sun Mar 30 09:40:00 +0000 2025,¿Quiénes se pueden permitir pagar una vivienda a tocateja? La respuesta en este vídeo 👇 https://t.co/duKEF7pLra,2319,1111,899,129206,111,0,0,1,0.0,neutral
1906051230272540916,IoneBelarra,Ione Belarra,Sat Mar 29 18:30:00 +0000 2025,"Hermana, yo sí te creo. https://t.co/1Qrzn5bVYz",2517,925,773,114727,47,0,0,1,0.0,neutral
1906028580254925240,IoneBelarra,Ione Belarra,Sat Mar 29 17:00:00 +0000 2025,Hoy en Málaga defendiendo el derecho a la vivienda. Hay que seguir empujando para que se les acabe el chollo a los rentistas y a los fondos buitre. Gracias a quienes habéis asistido y a @NicoSguiglia por organizarlo y por seguir luchando por una Málaga vivible para todas/os. 💜 https://t.co/P1sGYjGXaY,1175,523,159,29128,301,0,1,1,0.6369,positive
1906020569704747217,IoneBelarra,Ione Belarra,Sat Mar 29 16:28:10 +0000 2025,Correcto,4415,1091,585,227327,8,0,0,0,0.0,neutral
1905977038940328046,IoneBelarra,Ione Belarra,Sat Mar 29 13:35:12 +0000 2025,¿Por qué pueden movilizar 800.000 millones de euros para una carrera armamentística y no para solucionar la crisis de la vivienda que tiene la gente trabajadora? https://t.co/3dYcueAHfR,3614,1901,380,74060,185,0,0,1,-0.743,negative
1905926476261675299,IoneBelarra,Ione Belarra,Sat Mar 29 10:14:16 +0000 2025,@luciadalda 💜💜💜,22,3,2,382,15,0,1,0,0.9274,positive
1905901929319821818,IoneBelarra,Ione Belarra,Sat Mar 29 08:36:44 +0000 2025,La manera en la que @luciadalda desnuda el fascismo de este señorO que la quiere calladita es digna de aplauso. Hace falta mucha valentía e inteligencia para hacer esto. Gracias💜,1038,572,83,22428,178,0,1,0,0.6369,positive
1905602963101413521,IoneBelarra,Ione Belarra,Fri Mar 28 12:48:45 +0000 2025,"La sentencia absolutoria a Dani Alves no sólo desprotege a la víctima, manda también un mensaje terrible a todas las mujeres. Basta de justicia patriarcal, basta de violencia institucional.",2786,1220,859,153558,189,0,0,0,-0.6486,negative
1905578819680895051,IoneBelarra,Ione Belarra,Fri Mar 28 11:12:49 +0000 2025,"El Gobierno de Cantabria ha anunciado el sacrificio inminente de 41 lobos sumándose así a la guerra que las derechas le han declarado al lobo ibérico. Es intolerable y tenemos que frenar esta barbaridad entre todas/os.
Tenemos que movilizarnos por el lobo. https://t.co/58nxz092IE https://t.co/vd6y5lo3z6",1402,1027,163,24673,304,0,0,2,0.34,positive
1905318906065289715,IoneBelarra,Ione Belarra,Thu Mar 27 18:00:00 +0000 2025,Necesitamos toda la fuerza posible para afrontar los retos que Podemos tiene por delante. Y para ello necesito tu aval a mi candidatura a secretaria general de Podemos en La Quinta. Recuerda que tienes hasta media noche para hacerlo. Gracias por el apoyo. https://t.co/ByoCDP3HSs,1151,553,158,23512,279,0,0,1,0.0,neutral
1905286875599769765,IoneBelarra,Ione Belarra,Thu Mar 27 15:52:44 +0000 2025,"Hoy me he reunido en el Congreso, junto a @isabelfaraldo, con representantes del Consejo General del Trabajo Social. Hemos abordado la necesidad de una ley de servicios sociales común a todos los territorios del Estado que defienda un sistema público frente a las privatizaciones. https://t.co/wzZcWKCjc5",646,355,31,11477,304,0,1,1,0.0,neutral
1905267062509101410,IoneBelarra,Ione Belarra,Thu Mar 27 14:34:00 +0000 2025,Ayer me preguntaron en la radio pública sobre los kit de supervivencia que propone la UE. Mi respuesta creo que no pudo ser más clara: menos propaganda de guerra y más protección social. https://t.co/YYRXWcJeYs,3460,1732,197,53663,210,0,0,1,-0.4939,negative
1905184096218910758,IoneBelarra,Ione Belarra,Thu Mar 27 09:04:19 +0000 2025,El Gobierno no se atreve a traer los presupuestos al Congreso porque eso dejaría en evidencia que el único socio que tiene en este régimen de guerra es el PP. https://t.co/6eCNz02v4b,1872,999,127,22856,182,0,0,1,-0.296,negative
1904986717519487397,IoneBelarra,Ione Belarra,Wed Mar 26 20:00:01 +0000 2025,Flaco favor se hace el PSOE a sí mismo defendiendo una justicia atrincherada a las órdenes del PP que sí tiene diferente criterio si el apellido es Rajoy o Cospedal. https://t.co/LD1vAq6mIQ,1582,876,105,35415,189,0,0,1,0.4019,positive
1904967840341303531,IoneBelarra,Ione Belarra,Wed Mar 26 18:45:00 +0000 2025,El mundo de la cultura lo vuelve a tener claro y hoy les hemos acompañado a las puertas del Congreso. ¡NO A LA GUERRA! https://t.co/7QATEd05ed,2068,1004,311,54990,142,0,0,1,0.0,neutral
1904946450535940103,IoneBelarra,Ione Belarra,Wed Mar 26 17:20:00 +0000 2025,"Hoy se ha abierto el plazo para recibir los avales para mi candidatura a la Secretaría General de Podemos.

Para seguir defendiendo el feminismo, los servicios públicos, el ecologismo y el fin de la militarización, entra en https://t.co/ByoCDP3a2U y haz tu aval. #AvalaPodemos https://t.co/yCS40cmxPb",2397,994,695,68315,300,1,0,2,0.34,positive
1904918282273952246,IoneBelarra,Ione Belarra,Wed Mar 26 15:28:04 +0000 2025,"La amenaza rusa suena igual que esas armas de destrucción masiva que, con seguridad, tenía Saddam Hussein en Irak. https://t.co/s4u62BV0hp",4890,2452,688,391114,138,0,0,1,0.0,neutral
1904878434813165766,IoneBelarra,Ione Belarra,Wed Mar 26 12:49:44 +0000 2025,@Borja_SRT Tomo nota jeje,14,0,1,489,25,0,1,0,0.0,neutral
1904864515524530312,IoneBelarra,Ione Belarra,Wed Mar 26 11:54:25 +0000 2025,"Con esos 17.000 millones de euros que tan fácilmente han encontrado para el rearme, se podrían comprar todos los pisos de fondos buitre para ponerlos en alquiler social. Pero, claro, para eso hace falta valentía. https://t.co/St8RFl7eo0",5275,2810,496,133506,236,0,0,1,0.0,neutral
1904554552650559512,IoneBelarra,Ione Belarra,Tue Mar 25 15:22:44 +0000 2025,Hoy nos hemos reunido de nuevo con Juristas por Palestina en el Congreso. Les hemos acompañado en su propuesta de exigir a España que actúe frente al genocidio que Israel está perpetrando en Palestina. Tienen todo nuestro apoyo. Hay que llevar ya a los genocidas ante la justicia. https://t.co/6xrCdS5nnq,1255,662,153,21264,304,0,0,1,0.0,neutral
1904515783092273370,IoneBelarra,Ione Belarra,Tue Mar 25 12:48:41 +0000 2025,Pedro Sánchez tiene que decir la verdad a la gente sobre el aumento del gasto militar y los recortes que conllevan. https://t.co/LGJgjgOFSd,2158,1224,205,42834,139,0,0,1,0.0,neutral
1904266363142611124,IoneBelarra,Ione Belarra,Mon Mar 24 20:17:35 +0000 2025,"Cuando la barbarie comienza nadie está a salvo, ni siquiera quien recibe un Oscar como Hamdan Ballal. Mi repulsa más firme a este ataque cobarde y repugnante. Es hora de pararle los pies a Israel y detener este genocidio.",2800,1434,156,60394,221,0,0,0,0.0,neutral
