tweet_id,username,politician,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,sentiment,sentiment_label
1906731061775642661,IreneMontero,Irene Montero,Mon Mar 31 15:31:25 +0000 2025,"¿Por qué dicen con desprecio que “no es tiempo de pancartas”? ¿Hay algún derecho que se conquiste sin pancartas? 

Orgullosamente militantes 💜 https://t.co/sp1CfnxuQI",2875,1317,561,77301,166,0,0,1,0.2406,positive
1906609822193107365,IreneMontero,Irene Montero,Mon Mar 31 07:29:39 +0000 2025,"Los derechos trans son Derechos Humanos y amplían las oportunidades de felicidad de todas las personas.
A quienes extienden el odio, a los reaccionarios y al fascismo se les para con más derechos, con más visibilidad, con mucho orgullo y furia trans.
#DiaVisibilidadTrans 🏳️‍⚧️💜✊🏽 https://t.co/dUTWY2IBjT",917,394,324,37214,304,1,0,1,0.6369,positive
1906080117190795331,IreneMontero,Irene Montero,Sat Mar 29 20:24:47 +0000 2025,Esto es lo que os pasa con el caso Dani Alves 👇🏼 https://t.co/FvMblE3qjc,8762,3169,1972,526916,72,0,0,1,0.0,neutral
1906057719401873821,IreneMontero,Irene Montero,Sat Mar 29 18:55:47 +0000 2025,"Es lo que haríamos cualquiera, antes de permitir que tu familia pase una sola noche en la calle.

¡Ni gente sin casas, ni casas sin gente!",1983,659,680,156288,138,0,0,0,-0.8172,negative
1906046194213613989,IreneMontero,Irene Montero,Sat Mar 29 18:09:59 +0000 2025,Al odio y al fascismo se les para con más visibilidad y mucho orgullo LGTBI y furia trans https://t.co/dhrkIEyd1w,3117,1090,1288,235925,113,0,0,1,0.0,neutral
1905729683771281908,IreneMontero,Irene Montero,Fri Mar 28 21:12:18 +0000 2025,"Hoy he participado en la presentación de La liturgia de la carne, el nuevo poemario de mi querido @ZazoGil . Hemos disfrutado de una conversación interesante y sobre todo, de mucho amor 🥰 

Gracias a @laanonimalib por la acogida https://t.co/20J1zyc0RM",447,154,122,24282,252,0,2,1,0.9062,positive
1905637006345932941,IreneMontero,Irene Montero,Fri Mar 28 15:04:01 +0000 2025,"Dani Alves ha cambiado hasta cinco veces de versión, pero según estos jueces la que no es creíble es la víctima.

Basta de justicia patriarcal. Sólo sí es sí https://t.co/F4U1kk1SDv",7032,2281,1959,436237,181,0,0,1,0.0516,positive
1905626376834556276,IreneMontero,Irene Montero,Fri Mar 28 14:21:47 +0000 2025,Y luego nos dicen a las mujeres que por qué no denunciamos. Sobre la absolución de Dani Alves 👇 https://t.co/KVTCdJMcJr,2215,970,857,116500,119,0,0,1,-0.296,negative
1905610266261201281,IreneMontero,Irene Montero,Fri Mar 28 13:17:46 +0000 2025,"Sobre la decisión del TSJ de Cataluña de absolver a Dani Alves.

 Luego nos preguntan que por qué no denunciamos. ¡Sólo si es sí! https://t.co/LWn5rct3pY",5347,2176,2387,654365,153,0,0,1,-0.3595,negative
1905582160653725719,IreneMontero,Irene Montero,Fri Mar 28 11:26:05 +0000 2025,"La sentencia que absuelve a Dani Alves alegando que la víctima no es creíble es un claro ejemplo de violencia institucional y de justicia patriarcal que desprotege a las mujeres y, como dice la ONU, mantiene la cultura de impunidad de los agresores

Una y mil veces: sólo sí es sí https://t.co/1dgrXWzEPH",8254,3072,3841,1873124,304,0,0,1,-0.296,negative
1905387047419773013,IreneMontero,Irene Montero,Thu Mar 27 22:30:47 +0000 2025,Este artículo de @VickyRosell es imprescindible para entender que esto no va de libertad de expresión o creación sino de pura violencia machista 👇🏼,755,399,87,40049,147,0,1,0,-0.296,negative
1905349029162086694,IreneMontero,Irene Montero,Thu Mar 27 19:59:42 +0000 2025,"Este caso, escalofriante y violento, sirve para entender que el problema no es que haya feministas destruyendo la vida de hombres inocentes,  sino demasiados hombres que a pesar de ser agresores tienen un entorno que les ayuda a ejercer violencia y les garantiza impunidad 👇🏼",3784,1488,247,132188,275,0,0,0,-0.296,negative
1905342027983978767,IreneMontero,Irene Montero,Thu Mar 27 19:31:53 +0000 2025,"Qué barbaridad, @el_pais, propaganda de guerra sin ningún tipo de escrúpulo.

Luego se preguntan de dónde viene la desinformación 👇🏼",921,465,150,34585,132,0,1,0,-0.6808,negative
1905327478689644653,IreneMontero,Irene Montero,Thu Mar 27 18:34:04 +0000 2025,Se ríen de la gente https://t.co/JYeYMEoJaI,3327,1583,500,82934,43,0,0,1,0.0,neutral
1905294674534736315,IreneMontero,Irene Montero,Thu Mar 27 16:23:43 +0000 2025,"Os recuerdo que la Quinta Asamblea ya está en marcha y que durante todo el día de hoy todavía podéis avalar a vuestros precandidatos o precandidatas entrando en https://t.co/iC1cxqvqnI 

Participa, porque en Podemos las decisiones importantes las tomas tú https://t.co/YFu6rkuRhV",353,195,61,10646,279,0,0,2,0.0,neutral
1905009824095670480,IreneMontero,Irene Montero,Wed Mar 26 21:31:50 +0000 2025,"Finlandia y Reino Unido ya reconocen recortes sociales para pagar el aumento de gasto militar. Lo mismo ha exigido Rutte desde la OTAN.

O Pedro Sánchez hace milagros, o nos está mintiendo con descaro",2101,1070,400,108888,200,0,0,0,0.34,positive
1904902415217754257,IreneMontero,Irene Montero,Wed Mar 26 14:25:01 +0000 2025,Señor de la guerra hablar con lengua de serpiente. Y en 2022 llamaba ruido a la defensa de la paz,2129,1333,153,59477,97,0,0,0,0.0,neutral
1904898001023148424,IreneMontero,Irene Montero,Wed Mar 26 14:07:29 +0000 2025,"La apuesta de Podemos por la paz y contra el envío de armas fue, junto con las leyes feministas, la mayor crisis de Gobierno con el PSOE, por la que Sánchez nos echó en cuanto pudo

Sánchez ataca a Podemos porque decimos la verdad: va a hacer recortes sociales para comprar armas https://t.co/FylimppdZp",1712,1264,127,41536,303,0,0,1,-0.6249,negative
1904891537948881166,IreneMontero,Irene Montero,Wed Mar 26 13:41:48 +0000 2025,"Este sábado 29 de marzo a las 18h en la Plaza Pedro Zerolo salimos orgullosas a proteger la furia trans frente al odio y la transfobia. 

Al fascismo se le para con más movilización y más derechos. 
@PlataformaTrans https://t.co/rk2s36N5db",2311,995,1066,193044,239,0,1,1,0.0,neutral
1904844968520204663,IreneMontero,Irene Montero,Wed Mar 26 10:36:45 +0000 2025,"La Quinta Asamblea de Podemos ya está en marcha 😊 Hasta mañana puedes avalar a tus precandidatas/os aquí 
https://t.co/iC1cxqvqnI 

En Podemos hacemos política sin pedir un euro a los bancos, y las decisiones importantes las toma la gente. No os olvidéis de participar 💜",629,354,94,20199,270,0,0,1,0.6597,positive
1904259245429690703,IreneMontero,Irene Montero,Mon Mar 24 19:49:18 +0000 2025,"Nunca más. Memoria, verdad, justicia.

Inmensamente agradecidas por habernos dejado compartir este 24 de marzo con ustedes 💜🇦🇷🥰 https://t.co/3YPPIC2Zw3",3749,907,399,99602,151,0,0,1,0.8074,positive
