tweet_id,username,politician,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,sentiment,sentiment_label
1906835205203083748,PabloIglesias,Pablo Iglesias,Mon Mar 31 22:25:14 +0000 2025,Vaya si pasaron… https://t.co/WLpZMq7vw1,304,102,13,45456,40,0,0,1,0.0,neutral
1906794695495229510,PabloIglesias,Pablo Iglesias,Mon Mar 31 19:44:16 +0000 2025,"🇵🇸 “La ignorancia global ha sido un componente clave de la impunidad de Israel y esa impunidad se está desmoronando en estos momentos. Por eso la reacción contra el activismo palestino ha sido tan draconiana y brutal”

Lean a @QassaMMuaddi 
 
https://t.co/frTOgIwjQs",506,334,13,15707,266,0,1,1,0.5859,positive
1906743856307044659,PabloIglesias,Pablo Iglesias,Mon Mar 31 16:22:15 +0000 2025,"¿Hay una guerra fría en la Administración Trump entre el ala anticastrista y antichavista de Rubio, que promueve la máxima presión contra Venezuela y la MAGA, representada por Richard Grennel que impulsa un acuerdo de intercambio de petróleo por migrantes? https://t.co/xUqi4JE9BD",820,443,17,29578,280,0,0,1,0.0,neutral
1906664244898111586,PabloIglesias,Pablo Iglesias,Mon Mar 31 11:05:54 +0000 2025,"Madrid se prepara para la manifestación por la vivienda del 5 de abril

✍️ Andrés Prieto
https://t.co/Ab5hFOlH7f",710,429,17,16063,112,0,0,1,0.0,neutral
1906648792817860863,PabloIglesias,Pablo Iglesias,Mon Mar 31 10:04:30 +0000 2025,Me preguntan en RNE por lo que ha dicho Yolanda Díaz a propósito de Podemos. Esto es lo que pienso👇🏻 https://t.co/su6wD2CAoU,1702,856,67,60109,124,0,0,1,0.34,positive
1906634903279575248,PabloIglesias,Pablo Iglesias,Mon Mar 31 09:09:19 +0000 2025,"El Gobierno practica la contabilidad creativa con el gasto en defensa

Lean a @cristinabuhigas 

https://t.co/yfbYS7Xclv",380,240,14,12380,120,0,1,1,0.0,neutral
1906619842884501961,PabloIglesias,Pablo Iglesias,Mon Mar 31 08:09:28 +0000 2025,Sobre las declaraciones de Sumar y sobre Carmena 👇 https://t.co/IMhZ0BSqRm,1726,920,71,45828,74,0,0,1,0.0,neutral
1906602950492893353,PabloIglesias,Pablo Iglesias,Mon Mar 31 07:02:21 +0000 2025,"A día de hoy, según Electomania, la mayor parte de los españoles rechazan la presencia de bases militares de EEUU en España y Europa. 

Si hoy volviera a haber un referéndum como el del 86, los españoles dirían “bases fuera” https://t.co/jfzGMJivw8",1995,1028,101,41292,248,0,0,1,0.0,neutral
1906598742226022772,PabloIglesias,Pablo Iglesias,Mon Mar 31 06:45:37 +0000 2025,"Uno de los grandes problemas de la democracia española es el sesgo derechista de las élites judiciales.

Que Concha Roig, responsable de la absolución de los empresarios pederastas de Murcia, atacara ayer a Irene Montero es un ejemplo más del activismo político judicial https://t.co/7oXkEKXXKy",3947,2047,147,81122,294,0,0,1,0.0,neutral
1906597070196076801,PabloIglesias,Pablo Iglesias,Mon Mar 31 06:38:59 +0000 2025,"¿Cual es la importancia de no tener Presupuestos Generales del Estado? 

Si se va a aumentar el gasto militar, mucha. No se le puede hurtar ese debate al Parlamento👇🏻 https://t.co/Bj6h4ozZ0K",1026,578,9,21133,190,0,0,1,-0.5267,negative
1906588086760349906,PabloIglesias,Pablo Iglesias,Mon Mar 31 06:03:17 +0000 2025,"✍️ {R} EDITORIAL - Sumar, proyecto fallido 

➡️ Nadie sabe en qué va a acabar el triste experimento y es muy probable que muchos sectores de lo que se ha llamado estos años Sumar acaben en el PSOE

https://t.co/1VZxsffMHS",1334,699,120,42418,221,0,0,1,0.34,positive
1906418128180883648,PabloIglesias,Pablo Iglesias,Sun Mar 30 18:47:55 +0000 2025,"✡️ El International Jewish Labor Bund y el Estado de Israel 

➡️ Las declaraciones del International Jewish Labor Bund, efectuada tras la fundación de Israel en 1948, previeron las consecuencias del sionismo 

✍️ Janey Stone

https://t.co/cfwBfHYUpJ",370,230,5,15478,249,0,0,1,0.0,neutral
1906297945021988941,PabloIglesias,Pablo Iglesias,Sun Mar 30 10:50:22 +0000 2025,"Marruecos sigue encadenando expulsiones de activistas y periodistas mientras España mira a otro lado

Informa @JuanjoChica_ 

https://t.co/GMYaxl0ZAL",912,588,69,55716,149,0,1,1,0.0,neutral
1906294839022428270,PabloIglesias,Pablo Iglesias,Sun Mar 30 10:38:01 +0000 2025,"🇲🇽📺 Canal Once: un nuevo capítulo de los medios públicos en México

➡️ Estamos ante un cambio generacional que podría representar un nuevo capítulo de los medios públicos

✍️ @leonardotoledo 

https://t.co/h4cMPfA4qR",422,211,4,18889,216,0,1,1,0.0,neutral
1906282344597647471,PabloIglesias,Pablo Iglesias,Sun Mar 30 09:48:22 +0000 2025,"🏀 Viernes 13 (de abril de 1984) 

⛹🏻‍♂️ Un codazo de López Iturriaga a Mike Davis encendió la chispa y Fernando Martín también acabó en la pelea

✍️ Jordi Subirán 

https://t.co/0xyxRZCJ72",174,69,5,43136,188,0,0,1,0.0,neutral
1906262354452471841,PabloIglesias,Pablo Iglesias,Sun Mar 30 08:28:56 +0000 2025,"{R} ✍️ EDITORIAL - Donald Trump va en serio… ¿y Europa?

https://t.co/EW2zbGrYd9",331,175,16,29921,80,0,0,1,0.0,neutral
1905999603285008471,PabloIglesias,Pablo Iglesias,Sat Mar 29 15:04:51 +0000 2025,"Rearme

La viñeta de @luisoarte https://t.co/yW0CQHuG8L",1738,808,70,38606,55,0,1,1,0.0,neutral
1905953772322386241,PabloIglesias,Pablo Iglesias,Sat Mar 29 12:02:44 +0000 2025,"{R} ✍️ EDITORIAL - El rearme con rostro humano

https://t.co/TwMNUnViYc",339,186,13,15489,71,0,0,1,0.0,neutral
1905909293771297259,PabloIglesias,Pablo Iglesias,Sat Mar 29 09:06:00 +0000 2025,"El País y la falsa médica canadiense: un ejemplo de propaganda femonacionalista de guerra

Escribe @irezugasti 

https://t.co/35SnJCbAaq",2148,1255,49,39139,136,0,1,1,-0.25,negative
1905893983802290222,PabloIglesias,Pablo Iglesias,Sat Mar 29 08:05:10 +0000 2025,"El acuerdo entre PSOE y Sumar retendrá IRPF al salario mínimo durante todo 2025 y solo devolverá lo retenido, en 2026, si se hace declaración de la renta

✍️ @cristinabuhigas 

https://t.co/Dj7Gd4KVZX",1049,700,83,34749,200,0,1,1,0.0,neutral
1905617274959978777,PabloIglesias,Pablo Iglesias,Fri Mar 28 13:45:37 +0000 2025,"40 años de ‘La historia oficial’, la película que se atrevió a hablar del robo de niños en plena dictadura argentina

✍️ @reguera_pascual 

https://t.co/dNFigEoxYn",616,318,15,14106,163,0,1,1,0.0,neutral
1905607723523207388,PabloIglesias,Pablo Iglesias,Fri Mar 28 13:07:40 +0000 2025,"🎨 Diálogo tenso 

El cartón de @monerorape para @diario_red_lat_ 

https://t.co/VQTDmLOINr",411,210,2,12369,90,0,2,1,0.0,neutral
1905606948101193756,PabloIglesias,Pablo Iglesias,Fri Mar 28 13:04:35 +0000 2025,"🇺🇸 La persecución sobre extranjeros en EEUU se extiende a residentes legales

➡️ Trump desempolvó una ley de 1952 que permite iniciar procesos de deportación contra cualquier ciudadano no estadounidense considerado una amenaza 

✍️ @RogelioLpezGme2 

https://t.co/4TYLrex8Xp",583,379,37,14604,274,0,1,1,-0.296,negative
1905585744690753962,PabloIglesias,Pablo Iglesias,Fri Mar 28 11:40:20 +0000 2025,"Goldman Sachs se mete en el negocio del sector servicios, entre ellos el de la dependencia

Informa @JuanjoChica_ 

https://t.co/ZBqjmtD12N",571,447,29,22886,139,0,1,1,0.0,neutral
1905574432505999550,PabloIglesias,Pablo Iglesias,Fri Mar 28 10:55:23 +0000 2025,"{R} ✍️ EDITORIAL - Un réquiem para la derecha colombiana

➡️ La derecha colombiana agoniza y, como ha hecho históricamente, recurre a estrategias criminales para allanar el camino hacia los comicios de 2026

https://t.co/t6vaXLgfU6",288,148,6,9660,231,0,0,1,0.34,positive
1905309287720591639,PabloIglesias,Pablo Iglesias,Thu Mar 27 17:21:47 +0000 2025,Tras los mensajes de Signal de los jefes de La Casa Blanca ¿Por qué defienden los dirigentes europeos que estemos en la OTAN? ¿Por qué defienden las bases militares de EEUU ? ¿Por qué quieren aumentar el gasto militar para comprar armamento dependiente tecnológicamente de EEUU? https://t.co/NBa3RzI4Iq,1721,1003,70,34948,302,0,0,1,0.0,neutral
1905254746270707836,PabloIglesias,Pablo Iglesias,Thu Mar 27 13:45:04 +0000 2025,"¿Cuáles son las verdaderas intenciones de Donald Trump en México y Ucrania? 🤔

Hablé de ello junto a @inafinogenova en #Masiosare de @CanalOnceTV y @Canal22 👇🏽 https://t.co/2BE2herMgq",1428,724,24,23858,183,1,3,1,0.0,neutral
1905254731447959709,PabloIglesias,Pablo Iglesias,Thu Mar 27 13:45:00 +0000 2025,"🇪🇨 Ecuador hacia el balotaje

➡️ El próximo 13 de abril se definirá el futuro binomio presidencial para el período 2025-2029

Escriben Bahía Luna, Sergio Pascual y Gabriela Montaño, de CELAG Data 

https://t.co/vhAyDsW1DO",170,83,0,11155,221,0,0,1,0.0,neutral
1905240961724072094,PabloIglesias,Pablo Iglesias,Thu Mar 27 12:50:17 +0000 2025,"✈️💸Barcelona segunda en el ranking del turismo de lujo

Un análisis de @ArmandoNegro6 

https://t.co/v5xSZOcQ4n",169,107,2,10711,111,0,1,1,0.0,neutral
