tweet_id,username,politician,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,sentiment,sentiment_label
1881597789286826029,Yolanda_Diaz_,Yolanda Diaz,Tue Jan 21 07:00:46 +0000 2025,"Defending democracy means stepping away from tools that undermine it. 

Let’s continue the conversation on other platforms. https://t.co/hE8lebyEZt",299,54,1192,310775,147,0,0,1,-0.296,negative
1881597780147442083,Yolanda_Diaz_,Yolanda Diaz,Tue Jan 21 07:00:43 +0000 2025,"Defender la democracia es dejar de utilizar herramientas que la debilitan.

Nos seguiremos leyendo en otras plataformas. https://t.co/q3EtdqsaCB",2107,373,10097,2291233,144,0,0,1,0.1027,positive
1881310069054435416,Yolanda_Diaz_,Yolanda Diaz,Mon Jan 20 11:57:28 +0000 2025,Qué fácil es decir esto cuando cobras 25 veces el SMI al mes. Esto sí que no es serio👇🏽 https://t.co/z5hG8QbcJY,6045,1785,3103,526103,111,0,0,1,-0.296,negative
1880677589356020087,Yolanda_Diaz_,Yolanda Diaz,Sat Jan 18 18:04:13 +0000 2025,"Siguiendo con mucha preocupación la situación en Benetússer tras un nuevo derrumbe en los trabajos de limpieza tras la DANA. 

La seguridad en el puesto de trabajo es lo primero. La inspección investigará lo ocurrido.
https://t.co/L4LyXtmQXf",277,71,561,97354,241,0,0,1,0.0,neutral
1880604693996396626,Yolanda_Diaz_,Yolanda Diaz,Sat Jan 18 13:14:33 +0000 2025,"Los cortometrajes Cafuné y Semillas de Kivu demuestran que la cultura es una herramienta poderosísima para transformar la realidad.

Enhorabuena a sus directores y directoras por el trabajo excepcional sobre las violaciones a mujeres como arma de guerra y las personas que se https://t.co/SyDhqguvnP",128,42,302,71905,299,0,0,1,0.0,neutral
1880253598417973683,Yolanda_Diaz_,Yolanda Diaz,Fri Jan 17 13:59:25 +0000 2025,"No vinimos al gobierno a esperar, vinimos a hacer. Vinimos a ganar derechos. 

Vamos a ganar media hora al día para la vida. Vamos a reducir la jornada laboral. https://t.co/rdduNXUqmF",603,146,1363,90060,184,0,0,1,-0.296,negative
1880235334492893325,Yolanda_Diaz_,Yolanda Diaz,Fri Jan 17 12:46:51 +0000 2025,"Hoy hemos tenido una reunión importante de todo el espacio @sumar.

Lo tenemos claro: esta legislatura vamos a seguir ganando derechos para vivir mejor. Reducir la jornada laboral, subir el SMI, poner en el centro los cuidados y atajar el problema de la vivienda. Nos va el país https://t.co/D07sx2m4IU",320,96,622,76887,302,0,1,1,0.0,neutral
1879992673311842704,Yolanda_Diaz_,Yolanda Diaz,Thu Jan 16 20:42:36 +0000 2025,"La película “Siete días de mayo” refleja la valentía de miles de hombres y mujeres que pelearon por las libertades de nuestro país. La democracia se trabajó y se sangró.

Homenajear a nuestros héroes a través de la cultura es un ejercicio necesario. Gracias Rosana Pastor por https://t.co/N3F1pYdBI6",171,45,162,38674,299,0,0,1,0.0,neutral
1879970037211230319,Yolanda_Diaz_,Yolanda Diaz,Thu Jan 16 19:12:39 +0000 2025,"Un director visionario, con una imaginación portentosa para expresar lo oculto y lo perverso. Un gran innovador del lenguaje audiovisual en cine y televisión. Un maestro.",136,23,77,47563,170,0,0,0,0.0,neutral
1879870047298216328,Yolanda_Diaz_,Yolanda Diaz,Thu Jan 16 12:35:20 +0000 2025,"Decían que si subíamos el SMI destruiríamos la economía. Se equivocaron.

España se convierte en referencia y marca el camino. Las medidas funcionan, vamos a seguir subiendo el SMI. 
https://t.co/NqxNpmiosS",747,214,581,658320,206,0,0,1,0.0,neutral
1879864529028522157,Yolanda_Diaz_,Yolanda Diaz,Thu Jan 16 12:13:24 +0000 2025,"Inaugurando este Hub de Vanguardia de la Economía Social estamos apostando por un futuro más sostenible, solidario, verde y feminista.

El futuro se construye desde el ahora. https://t.co/hbj9ZomhJv",142,50,171,26808,198,0,0,1,0.0,neutral
1879846320933847393,Yolanda_Diaz_,Yolanda Diaz,Thu Jan 16 11:01:03 +0000 2025,"Hemos presentado en Donostia ASETT, un laboratorio de ideas y proyectos para construir una economía más cooperativa, verde y feminista.

Este Hub de Vanguardia de la Economía Social seguirá posicionando a nuestro país como referente global de esta forma de hacer economía más https://t.co/vb97DTSJgZ",105,43,112,25134,299,0,0,1,0.0,neutral
