month,Political Actors,News Outlets,General Public
1,-0.09453173076923077,-0.005224047619047616,
2,-0.07587840670859537,-0.03242619047619047,-0.15224000000000001
3,-0.06154042303172738,0.0004976190476190509,
4,-0.05141210762331839,-0.029118571428571428,-0.13741899999999999
5,-0.0901120987654321,0.03259402173913044,
6,-0.05802088197146563,0.012205238095238097,-0.07668599999999999
7,-0.08268407079646017,0.015521860465116282,
8,-0.07293239436619718,-0.0060380555555555535,-0.1419975
9,-0.10826191588785047,-0.016708333333333332,
10,-0.14517391304347826,0.0032005128205128256,
11,,0.16190000000000002,-0.09831851851851851
12,-0.014199999999999997,,-0.06438974358974359
