month,President,Opp Avg,Opp 1 (PP),Opp 2 (Vox),Opp 3 (Left)
1,-0.058256896551724134,-0.14203831168831169,-0.10186938775510204,-0.22189285714285714,-0.20914761904761905
2,-0.09066969696969696,-0.07861349206349205,-0.05460806451612903,-0.03587472527472527,-0.12073558282208587
3,-0.07362894736842104,-0.06049623493975904,-0.07780402298850574,-0.10656631578947368,-0.04179189873417721
4,-0.045006382978723405,-0.06117721518987341,-0.03919399999999999,-0.09733214285714285,-0.148
5,-0.07435,-0.08822013888888888,-0.03322450331125828,-0.1649390243902439,-0.14195833333333333
6,-0.06202467532467532,-0.07338728813559321,-0.047039597315436235,-0.055694949494949485,-0.0899877192982456
7,0.0012543478260869595,-0.10127954545454546,-0.01679910714285714,-0.13576206896551724,-0.18066063829787232
8,0.021238095238095236,-0.08635585585585585,-0.07374680851063829,-0.10467037037037036,-0.08900810810810811
9,-0.07600909090909092,-0.10872866666666667,-0.11131525423728814,-0.021921874999999993,-0.12128947368421052
10,,-0.20657368421052633,,,-0.20657368421052633
11,,,,,
12,,,,,
