month,Political Actors_aggression_pct,Political Actors_blame_pct,Political Actors_hostility,News Outlets_aggression_pct,News Outlets_blame_pct,News Outlets_hostility,General Public_aggression_pct,General Public_blame_pct,General Public_hostility
1,16.3,3.5,0.244,6.9,4.0,0.114,,,
2,21.0,5.5,0.342,6.9,1.7,0.105,20.5,4.5,0.34
3,16.0,2.4,0.239,9.3,4.5,0.171,,,
4,13.5,5.4,0.233,4.8,2.4,0.081,27.0,8.0,0.515
5,13.3,2.2,0.222,7.9,2.2,0.106,,,
6,25.7,3.6,0.394,6.2,1.9,0.093,16.0,1.0,0.17
7,22.7,5.0,0.372,6.5,3.5,0.102,,,
8,21.8,4.9,0.331,5.8,0.6,0.064,31.0,11.5,0.62
9,18.0,4.7,0.301,5.3,1.7,0.075,,,
10,4.3,4.3,0.13,4.6,2.6,0.082,,,
11,,,,0.0,0.0,0.0,13.0,40.7,0.741
12,19.4,0.0,0.194,,,,25.6,12.8,0.538
