tweet_id,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,author,period,query,sentiment,sentiment_label
2006514377651007840,Wed Dec 31 23:54:41 +0000 2025,Lo'El Hermanísimo': La ópera prima de La Radioteca https://t.co/FR2uQhsQn4 vía @libertaddigital,0,0,0,7,95,0,1,1,RomanoFerr44143,baseline_dec,política España,0.0,neutral
2006513617567625469,Wed Dec 31 23:51:40 +0000 2025,Ayuso reivindica a Madrid como una región «sin sectarismo» que pone freno «a los totalitarios» https://t.co/7hNgX3ylnf vía @TheObjective_es,0,0,0,20,139,0,1,1,Ant14898955Jose,baseline_dec,política España,0.0,neutral
2006512720049483982,Wed Dec 31 23:48:06 +0000 2025,"📍📍📍ACCIONES CONTUNDENTES PARA TRIBUNALES INQUISIDORES QUE DAN SOPORTE A LOS ATAQUES DE LAS ULTRADERECHAS.

La Fiscalía solicita la anulación de la condena a García Ortiz por pasar por alto las pruebas que le exculpaban.

@El_Plural https://t.co/y3OVgq2cNj",0,0,0,31,255,0,1,1,MeseguerOlmo,baseline_dec,política España,0.0,neutral
2006510368450084934,Wed Dec 31 23:38:45 +0000 2025,"@DolorsMM @NunezFeijoo @ppopular Dolors de cabeza jaja recuerdo cuando has intentado tumbar beneficios para España y te salió el tiro por la culata. La política que no aporta sobra, deja paso, deja de ser un lastre y de aburrirte en tuiter",12,1,0,180,239,0,3,0,madp80,baseline_dec,política España,-0.296,negative
2006508515624628266,Wed Dec 31 23:31:23 +0000 2025,https://t.co/Fc5pYr0U4n,0,0,1,,23,0,0,1,Joseamarolator1,baseline_dec,política España,0.0,neutral
2006505989164675378,Wed Dec 31 23:21:21 +0000 2025,@josevico4 En España sois profundamente gilipollas cuando habláis de los orígenes del hip hop y su relación con la izquierda política tal y como la conocemos aquí.,1,1,0,235,163,0,1,0,XoquinsRevival,baseline_dec,política España,0.0,neutral
2006505144373096834,Wed Dec 31 23:18:00 +0000 2025,"Lo mismo están haciendo los globalistas distopicos del bipartidismo de la UE y España y gobiernos con la #EstafaClimatica, la ideología d género y el remplazo cultural y de votos a través d la política d fronteras abiertas e invasión masiva de ilegales",0,0,0,3,252,1,0,0,merlufer,baseline_dec,política España,0.0,neutral
2006503802514583704,Wed Dec 31 23:12:40 +0000 2025,"Sólo pido a la gente inteligente que escuche las declaraciones de todos cabezas de partido y de ahí sacar conclusiones
Sánchez celebra los hitos conseguidos en 2025 con una promesa para el año nuevo: ""Este Gobierno seguirá dejándose la piel"" via @El_Plural https://t.co/Iiu3p3GsUb",0,0,0,16,280,0,1,1,AlfamenBnyk,baseline_dec,política España,0.0,neutral
2006501576496787921,Wed Dec 31 23:03:49 +0000 2025,"@resistrinker @ElWombat3 @GuillermoRocaf1 @sanchezcastejon El título IV de la Ley 17/2015, de 9 de julio, del Sistema Nacional de Protección Civil atribuye la responsabilidad fundamental al Ministerio del Interior, bajo la dirección política y la coordinación superior del Gobierno de España, tontopollas.",0,0,2,35,305,0,4,0,democrataformal,baseline_dec,política España,0.5423,positive
2006495969811353920,Wed Dec 31 22:41:32 +0000 2025,"@JamesSt94802316 @VioletKiramann7 @Maria_EstevezG Meloni llega al poder en Octubre 2022.

200.000 irregulares entran en Italia con las recetas de la ultraderecha.

En España, menos de la mitad con la errática política de Sánchez. Y bajando. https://t.co/cG6VBWWeNn",0,0,1,11,264,0,3,1,Amonicaco,baseline_dec,política España,0.0,neutral
2006495631033143318,Wed Dec 31 22:40:11 +0000 2025,"@InvIngeniero Muy duro ver como han reventado un país que estaba unido. Yo tengo 19 años y siempre lo digo, envidia sana a la generación de mis abuelos y mis padres, sin duda la mejor etapa de España. Cuando personas de izquierdas y derechas podían conversar sobre política sin conflictividad.",0,0,1,11,293,0,1,0,bombamendy,baseline_dec,política España,-0.802,negative
