tweet_id,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,author,period,query,sentiment,sentiment_label
1895624279171219643,Fri Feb 28 23:57:01 +0000 2025,"@Jorge_Night @Paysantndereana @nestorsiurana Ya te he contestado, solo que la neurona no te da.

En España los individuos son mucho más libres que en china, tienen mayor  libertad de expresión, política y económica.
La soberanía nacional de china es no lo que quiera la gente, sino lo que quiera una reducida oligarquia",0,0,0,8,319,0,3,0,Elmquina100,baseline_feb,política España,-0.5267,negative
1895623848529387582,Fri Feb 28 23:55:19 +0000 2025,"@jeffmartens19 @ZelenskyyUa España está como para seguir con esta política suicida. La ruina, vamos a la ruina.",1,0,0,195,111,0,2,0,deloritas,baseline_feb,política España,0.0,neutral
1895622982456000959,Fri Feb 28 23:51:52 +0000 2025,"@IdiazAyuso Sabe, a ls madrileñ@s nos importa 1 bledo su opinión sobre el presidente del gob. de España. 
Haga política de Madrid que para eso la están pagando ls madrileñ@s.  Su populismo, mata y empobrece.",1,0,0,17,207,0,3,0,marte4321,baseline_feb,política España,0.0,neutral
1895619125646664075,Fri Feb 28 23:36:33 +0000 2025,"@manelmarquez El gran fracaso de la política y de la democracia en España fue el GAL y Felipe GALzalez el señor X del GAL
Aparte de tener unas FOP Y EJÉRCITOS FASCISTAS SIN DEPURAR",0,0,0,2,180,0,1,0,Katuargi,baseline_feb,política España,-0.6523,negative
1895618767373377882,Fri Feb 28 23:35:07 +0000 2025,"@IreneMontero Todos los que leáis mi tweet haced la siguiente reflexión: 
Si esta “ señora” ha conseguido ser política de un país como España, no hay nada imposible para el resto.",0,0,0,7,179,0,1,0,EricMarey,baseline_feb,política España,0.0516,positive
1895616658259239253,Fri Feb 28 23:26:44 +0000 2025,"@Doct_Tricornio Esta señora debería estar obligada a explicar públicamente cómo va a acabar con la tercera fuerza política de España. Está diciendo que millones de españoles deben ser expulsados de la democracia, por su coño.",0,0,0,16,225,0,1,0,BipartidismoSA,baseline_feb,política España,0.0,neutral
1895614527640862843,Fri Feb 28 23:18:16 +0000 2025,"Será una excepción; porque la miseria política, ética y moral en España tiene la costumbre de parlotear y parlotear y parlotear a todas horas. Como prueba este ""Delegado"" comisario del Gobierno.",3,0,0,78,194,0,0,0,faltrique,baseline_feb,política España,0.0,neutral
1895611878874743045,Fri Feb 28 23:07:45 +0000 2025,"@BenegasJ Esto de citar para exponerme a tus seguidores en vez de darle a responder no es muy elegante, pero bueno. Trump es el único que está intentando ayudar a Ucrania con acciones decisivas y diplomacia, con un riesgo de desgaste político que ni uno solo de los sinvergüenzas eurócratas",38,3,4,849,290,0,1,0,alonso_dm,baseline_feb,política España,-0.296,negative
1895611622368166116,Fri Feb 28 23:06:44 +0000 2025,"🎙️ #Episodio159 del #PODCAST: Entrevista con la @DraPattyMarrufo, Pdta. de @FColosioDurango 🎧

✅ En esta edición, conversamos con la doctora Paty Marrufo sobre los eventos para conmemorar el 31º aniversario luctuoso de Luis Donaldo Colosio Murrieta.

✅ Además, hablamos de https://t.co/j5dNcWcrJA",2,2,0,168,296,2,2,1,DanielReta,baseline_feb,política España,0.0,neutral
1895610988659102078,Fri Feb 28 23:04:13 +0000 2025,"@Jaume_Hurtado Por q no piden lo mismo para la psicópata d Madrid, q lleva a su espalda 7291 ancianos condenados a morir sin asistencia médica, además d ser la política más corrupta inútil y embustera d España?no será q la protege el capo Floren?",5,2,0,161,246,0,1,0,selagel,baseline_feb,política España,-0.7319,negative
1895610344955072761,Fri Feb 28 23:01:39 +0000 2025,"@odeialtuna3 @kuko_xd @VermalaVanCleef @miguepeerezz ya hombre, pero es que seguir en pleno 2025 con la retaila de que no eres Español cansa. Que puedes tener un sentimiento muy propio de tu tierra, pero no entiendo como rechazarías a España. Fuera de la política es el mejor lugar para vivir del mundo.",1,0,1,38,303,0,4,0,mxdikn,baseline_feb,política España,-0.5267,negative
1895609931337728434,Fri Feb 28 23:00:01 +0000 2025,"Y así, mis pequeños sátiros,
se forja un Cantinflas genuino,
en México, rey del disparate divino,
y en España, Ozores, ¡qué lío tan fino!,
mas en política, Yolanda Díaz,
‘pregunta libre’, dice con osadía,
¡y responde lo que su capricho idea! https://t.co/MLI3nnTY1f",2,1,0,221,265,0,0,1,HDP_PdroBvMayLn,baseline_feb,política España,0.0,neutral
1895607989823820180,Fri Feb 28 22:52:18 +0000 2025,"Los 14 consejeros del PP plantan en bloque a Montero en la reunión sobre la quita de la deuda | España  
El de este miércoles era uno de los Consejos de Política Fiscal y Financiera (CPFF) más https://t.co/9up1I44Kpa #Español",0,0,0,18,225,1,0,1,Sergei_Ardzinba,baseline_feb,política España,0.0,neutral
1895605880550515017,Fri Feb 28 22:43:55 +0000 2025,@aalbita3 @JuankyCasas Es Andalucía una nación política para compararla con España o es un parte de esta ?,2,0,1,69,106,0,2,0,AlvaroG05476346,baseline_feb,política España,0.0,neutral
1895605637113102666,Fri Feb 28 22:42:57 +0000 2025,La ralea política española que saquea y destruye España hablando de payasos en su circo internacionalista. https://t.co/QccWp6ssdc,1,1,1,108,130,0,0,1,VLBOSS99,baseline_feb,política España,0.0,neutral
1895602258253135883,Fri Feb 28 22:29:31 +0000 2025,"Tendra cuenta ser empresario en España teniendo esta clase de pendejos administrando los recursos públicos 
Ya aquí en Guatemala tener esta clase política es una mierda no digamos en otros lados",0,0,0,13,194,0,0,0,MarioMo51563750,baseline_feb,política España,-0.296,negative
1895601139368018073,Fri Feb 28 22:25:04 +0000 2025,"Dos tuits juntos que nos explican porqué España es una pocilga política, sin soberanía y está en manos de partidos filonazis, belicistas y partidarios del neoliberalismo globalizador. Una es de Sumar y ministra, la otra del PP y diputada de la ""oposición"". Vean. https://t.co/ZhqC96K565",10,12,2,574,286,0,0,1,sacedator,baseline_feb,política España,-0.5574,negative
1895600419109552207,Fri Feb 28 22:22:13 +0000 2025,"@pedroagbilbao Aviso para navegantes: es malo ser enemigo de EEUU, pero es peor ser su amigo.
OTAN NO, BASES FUERA, PERO YA.
Toda la clase política española, subordinada a estos macarrras anglosionistas, debe ser erradicada y recuperar la soberanía nacional.
España o R78.",1,0,0,39,272,0,1,0,Ente_viviente,baseline_feb,política España,0.0,neutral
