tweet_id,month,month_name,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,sentiment,sentiment_label
2006307619967778958,12,December,Wed Dec 31 10:13:06 +0000 2025,"Hoy finalizamos 2025 y hacemos balance de todo lo alcanzado en este año.

En 2026, seguiremos trabajando para mejorar la vida de la gente. https://t.co/C4gBYhIObC",8084,2043,3696,698077,162,0,0,1,0.0,neutral
2005958428699603008,12,December,Tue Dec 30 11:05:32 +0000 2025,"Nos deja Francisco Fernández Marugán, socialista de convicciones firmes y exdefensor del Pueblo.

Fue siempre un ejemplo de servicio público, integridad y compromiso con la ciudadanía. Hizo país, hizo partido. 

Un cariñoso abrazo a su familia y amigos.",2213,510,609,125525,253,0,0,0,0.0,neutral
2005306200901235192,12,December,Sun Dec 28 15:53:49 +0000 2025,"Máxima precaución ante las fuertes lluvias y el temporal que azota distintos puntos del país.

Quiero agradecer la labor de todos los servicios de emergencia que trabajan por la seguridad de la ciudadanía.

Infórmate en @AEMET_Esp y consulta siempre fuentes oficiales.",3248,847,1132,231381,268,0,1,0,0.0,neutral
2004847294903103900,12,December,Sat Dec 27 09:30:18 +0000 2025,"2025 ha sido un gran año, también en la música.

Esta es mi playlist de estos doce meses donde se cuelan canciones que siempre me acompañan.
https://t.co/6MdcALV18a",5691,764,1881,1945227,164,0,0,1,0.34,positive
2004262819081211981,12,December,Thu Dec 25 18:47:48 +0000 2025,"Felicidades al nuevo presidente electo de Honduras, Nasry Asfura.

España seguirá fortaleciendo la cooperación entre nuestros países para impulsar el desarrollo y las oportunidades. 🇪🇸 🇭🇳",2285,345,833,209288,187,0,0,0,0.0,neutral
2003747419788399103,12,December,Wed Dec 24 08:39:47 +0000 2025,"En nombre de todos los españoles, y del Gobierno de España, deseo unas felices fiestas y toda clase de éxitos a nuestros militares en misiones en el exterior.

Que este 2026 traiga la paz a tantos rincones del mundo necesitados de ella. Esa paz que vosotros construís día a día. https://t.co/lV2ieBVwuF",6012,1299,3424,277977,302,0,0,1,0.3612,positive
2003737558094872917,12,December,Wed Dec 24 08:00:36 +0000 2025,"RT @desdelamoncloa: 🔴EN DIRECTO

El presidente del Gobierno, @sanchezcastejon, se dirige por videoconferencia a las tropas españolas despla…",0,117,0,,140,0,2,0,0.0,neutral
2003436602438390026,12,December,Tue Dec 23 12:04:42 +0000 2025,"RT @desdelamoncloa: 🔴EN DIRECTO

Rueda de prensa de la portavoz del Gobierno, Elma Saiz, y el ministro de @transportesgob, tras el Consejo…",0,115,0,,139,0,2,0,0.0,neutral
2003432652439962067,12,December,Tue Dec 23 11:49:00 +0000 2025,"Respetar la soberanía e integridad territorial es central para la UE y para todas las naciones del mundo.

La seguridad en el Ártico es una prioridad en la que buscamos trabajar con aliados y socios.

Trasladamos nuestra plena solidaridad con Dinamarca y el pueblo de Groenlandia.",4786,1155,1257,247306,280,0,0,0,0.0,neutral
2003029022125568251,12,December,Mon Dec 22 09:05:08 +0000 2025,"La nueva ministra de @educaciongob será @milagrostolon, y @SaizElma, portavoz del Gobierno.

Dos grandes mujeres que asumen nuevas responsabilidades en esta legislatura.

Afrontamos esta etapa con energía y dispuestos a pelear cada iniciativa con voluntad de diálogo y humildad. https://t.co/8EdLjKT276",2621,688,1829,264918,302,0,3,1,0.0,neutral
2003004987090305382,12,December,Mon Dec 22 07:29:37 +0000 2025,"RT @desdelamoncloa: 🔴 EN DIRECTO

Declaración institucional del presidente @sanchezcastejon desde La Moncloa. https://t.co/vUdhMYFvgl",0,93,0,,133,0,2,1,0.0,neutral
2002863911264219541,12,December,Sun Dec 21 22:09:02 +0000 2025,"Enhorabuena a @MGuardiolaM por su resultado en las elecciones de Extremadura.

Felicidades a @magallardomir por el gran trabajo realizado y gracias a quienes han confiado en el @psoeex.

Nuestro partido será siempre garante de los servicios públicos, la igualdad y el progreso.",4082,708,2794,713778,277,0,3,0,0.0,neutral
2002092083360706768,12,December,Fri Dec 19 19:02:04 +0000 2025,"Sigamos reforzando los pilares del Estado del bienestar, con más alcaldes y alcaldesas socialistas, con más presidentes socialistas en Gobiernos autonómicos.

Todos a votar socialistas. ¡A ganar y a gobernar!

#VotaPSOE🌹 https://t.co/T7ZnqpcLN3",2228,729,1811,82207,244,1,0,1,0.0,neutral
2002087903678071147,12,December,Fri Dec 19 18:45:27 +0000 2025,"María Guardiola tapa sus casos de abusos inventando pucherazos.

Ayuso dice que en España no se puede hablar, y ella no para de insultar.

Moreno Bonilla diciendo que no es machista.

Y Feijóo dice que los andaluces no saben contar.

¡Qué paciencia hay que tener con esta derecha! https://t.co/cUFUDilpRR",8874,2619,2379,266539,304,0,0,1,-0.7959,negative
2002080872107802643,12,December,Fri Dec 19 18:17:31 +0000 2025,"Es el PP de siempre.

Solo les valen los resultados electorales cuando ganan. Y si no, es un pucherazo.

Vamos a ganarles el 21 de diciembre, con el voto de las extremeñas y extremeños, votando al único partido que puede hacer frente al Partido Popular y a Vox: el @PSOE. https://t.co/xMWJjYPAGx",3181,951,1591,91627,295,0,1,1,0.4215,positive
2002068763739631808,12,December,Fri Dec 19 17:29:24 +0000 2025,"RT @PSOE: 🔴  No te pierdas el acto de cierre de campaña desde Villanueva de la Serena (Badajoz).📍

⌚ A partir de las 18.00 h.

Intervienen:…",0,75,0,,140,0,1,0,-0.296,negative
2001846108234883403,12,December,Fri Dec 19 02:44:39 +0000 2025,"La UE proporcionará, de forma urgente e inmediata, un préstamo de 90.000 M€ para los 2 próximos años financiado mediante deuda conjunta.

Debemos apoyar a Ucrania por razones morales, de justicia y de legalidad internacional. https://t.co/aaSw79o1co",1724,504,1844,437887,249,0,0,1,0.0,neutral
2001836877368955295,12,December,Fri Dec 19 02:07:58 +0000 2025,"RT @desdelamoncloa: 🔴EN DIRECTO

Rueda de prensa del presidente del Gobierno, @sanchezcastejon, tras finalizar la reunión del Consejo Europ…",0,132,0,,140,0,2,0,0.0,neutral
2001649232655364343,12,December,Thu Dec 18 13:42:20 +0000 2025,"En Bruselas, he trasladado al presidente @ZelenskyyUa el compromiso de España con la soberanía de Ucrania y con su futuro dentro de la UE.

Es fundamental asegurar un apoyo financiero europeo sólido y sostenible. https://t.co/9sS93ZRrpy",1535,479,1215,129366,236,0,1,1,0.0,neutral
2001600281667076488,12,December,Thu Dec 18 10:27:49 +0000 2025,"Empezamos el último Consejo Europeo del año. 

Europa necesita unidad para avanzar, coherencia para defender nuestros compromisos y acción para fortalecer la Unión Europea. https://t.co/IstAn2ohvV",1707,588,809,41894,196,0,0,1,0.1027,positive
2001575151846973583,12,December,Thu Dec 18 08:47:58 +0000 2025,"RT @desdelamoncloa: 🔴 EN DIRECTO

Declaraciones del presidente del Gobierno, @sanchezcastejon, a su llegada a la sesión de trabajo del Cons…",0,149,0,,140,0,2,0,0.0,neutral
2001386774258491530,12,December,Wed Dec 17 20:19:25 +0000 2025,"Ampliarnos es completarnos. Así lo he defendido hoy en la Cumbre UE-Balcanes Occidentales en Bruselas.

Es, además, una apuesta estratégica por la paz, la seguridad y la prosperidad.

Los Balcanes Occidentales forman parte de nuestra familia europea y su futuro está en la UE. https://t.co/1Mi3uInm5A",1865,558,495,52879,300,0,0,1,0.0,neutral
2001273924915757552,12,December,Wed Dec 17 12:51:00 +0000 2025,"El Pacto de Estado Frente a la Emergencia Climática es un escudo para España.

La emergencia climática no espera. La historia no absolverá la inacción. Está en juego el futuro de quienes vendrán después.

Hagámoslo juntos, antes de que sea demasiado tarde. https://t.co/eem7Qwckle",1901,688,1245,105049,280,0,0,1,-0.5267,negative
2001269693374415005,12,December,Wed Dec 17 12:34:11 +0000 2025,"Cuidar el campo es también proteger vidas, hogares y pueblos enteros.

El Gobierno va a financiar los planes municipales contra inundaciones en los municipios de menos de 5.000 habitantes y, además, destinará 20 M€ para sus planes contra incendios. https://t.co/ZYQJ0jUR45",2336,848,691,46666,272,0,0,1,0.0,neutral
2001253478254121291,12,December,Wed Dec 17 11:29:45 +0000 2025,"RT @desdelamoncloa: 🔴 EN DIRECTO

El presidente @sanchezcastejon, clausura el acto 'Avanzando en el Pacto de Estado frente a la Emergencia…",0,109,0,,139,0,2,0,0.0,neutral
2001208723738378280,12,December,Wed Dec 17 08:31:55 +0000 2025,"Si no actuamos, Europa corre el riesgo de convertirse en un refugio sin hogares.

La verdadera medida de nuestra unión no está solo en los tratados sino en asegurar que todas las personas vivan con dignidad.

Mi reflexión en @POLITICOEurope:
https://t.co/ujqnJN7be4",2339,769,1304,168850,265,0,1,1,-0.7906,negative
2001052294415065161,12,December,Tue Dec 16 22:10:19 +0000 2025,"RT @desdelamoncloa: El presidente del Gobierno, @sanchezcastejon, ha intervenido en la XXXVI sesión ordinaria del Patronato de la @Red_Caro…",0,192,0,,140,0,3,0,0.34,positive
2000956080818659684,12,December,Tue Dec 16 15:48:00 +0000 2025,"RT @desdelamoncloa: El presidente @sanchezcastejon ha presidido la séptima reunión del Consejo de Política Exterior.

Ha destacado que la a…",0,144,0,,140,0,2,0,0.5859,positive
2000942782731698181,12,December,Tue Dec 16 14:55:09 +0000 2025,"Gracias, Pilar, por tu trabajo y dedicación.

Tu compromiso con el servicio público y tu esfuerzo por mejorar la vida de la gente es un ejemplo para todos y todas.

Contigo, gana Aragón.",3495,668,1125,190620,186,0,0,0,0.0,neutral
2000893173795840441,12,December,Tue Dec 16 11:38:02 +0000 2025,"RT @desdelamoncloa: 🔴EN DIRECTO

Rueda de prensa de la portavoz Pilar Alegría junto a las ministras de @CienciaGob e @IgualdadGob, Diana Mo…",0,99,0,,140,0,3,0,0.0,neutral
